"age_settled","group","why_settle_cats","settle_where_why_cat","want_settle","want_settle_why_cat","nomad_relative_need","settled_relative_need","nomad_support","change_support","nomad_respect_settled","nomad_respect_others","nomad_conflicts","settled_conflicts","advnom_cat","advset_cat","go_back","nomad_freedom","settled_freedom"
26,"former nomad","marriage to villager","marriage_to_villager",NA,NA,"more","more","rarely","little_harder","often","always","never","never","atmosphere and environment; freedom and autonomy","comfort and reduced physical effort; services and markets","no","always","rarely"
36,"former nomad","children's schooling","inherited_land_house",NA,NA,"same","same","rarely","little_easier","often","always","never","never","atmosphere and environment; food and traditions","infrastructure; comfort and reduced physical effort; safety and protection from elements; services and markets","no","always","rarely"
NA,"former nomad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"former nomad","conflict","purchase_house_land",NA,NA,"less","more","rarely","little_easier","often","often","never","never","atmosphere and environment; food and traditions","infrastructure; comfort and reduced physical effort; services and markets","no","always","often"
27,"former nomad","children's schooling","support_from_immediate_family",NA,NA,"less","less","rarely","little_easier","often","often","rarely","never","atmosphere and environment; peace of mind","comfort and reduced physical effort; services and markets; sanitation and cleanliness","no","always","rarely"
28,"former nomad","children's schooling","support_from_immediate_family",NA,NA,"same","same","always","lot_easier","always","often","never","never","atmosphere and environment; peace of mind","comfort and reduced physical effort; education; religion; sanitation and cleanliness","no","rarely","often"
35,"former nomad","children's schooling","support_from_in_laws",NA,NA,"more","more","rarely","little_easier","always","always","never","never","nothing","safety and protection from elements; education; services and markets","no","rarely","often"
19,"former nomad","physically tired","purchase_house_land",NA,NA,"same","same","rarely","little_harder","always","always","rarely","never","atmosphere and environment","education","no","often","often"
31,"former nomad","physically tired","support_from_immediate_family",NA,NA,"same","more","always","lot_easier","always","always","never","never","nothing","safety and protection from elements; comfort and reduced physical effort","no","often","often"
38,"former nomad","livestock loss","support_from_immediate_family",NA,NA,"more","more","rarely","little_easier","rarely","often","often","never","food and traditions","comfort and reduced physical effort; safety and protection from elements","no","rarely","often"
19,"former nomad","children's schooling","support_from_immediate_family",NA,NA,"more","more","often","little_easier","often","often","rarely","rarely","atmosphere and environment; peace of mind","religion; education; services and markets; sanitation and cleanliness","yes","rarely","often"
54,"part-time nomad","defend material wealth","support_from_immediate_family","yes","physically tired; children's schooling","same","more","often","little_easier","often","always","often","never","peace of mind","comfort and reduced physical effort; safety and protection from elements",NA,"often","often"
